ID	Value
htd1	ସପ୍ତପୁରୀଗୁଡ଼ିକର\N_NNP ଦର୍ଶନଦ୍ୱାରା\N_NN ମୋକ୍ଷପ୍ରାପ୍ତି\N_NNV ହୋଇଥାଏ\V_VM_VF |\RD_PUNC
htd2	ହିନ୍ଦୁଧର୍ମରେ\N_NN ତୀର୍ଥକ୍ଷେତ୍ରର\N_NN ଗୁରୁତ୍ଵପୂର୍ଣ୍ଣ\JJ ଭୂମିକା\N_NN ରହିଛି|\V_VM_VF
htd3	ଏପରିକି\DM_DMD ପ୍ରତ୍ୟେକ\QT_QTF ତୀର୍ଥ\N_NN ଶ୍ରେଷ୍ଠ\N_NN ଏବଂ\CC_CCD ମୁଖ୍ୟ\N_NN ଅଟନ୍ତି\V_VM_VF କିନ୍ତୁ\CC_CCD ସାତଟି\RP_CL ସ୍ଥାନର\N_NN ଗୁରୁତ୍ଵପୂର୍ଣ୍ଣ\JJ ମହତ୍ତ୍ଵ\N_NN ଏବଂ\CC_CCD ମାନ୍ୟତା\N_NNV ରହିଛି|\V_VM_VF
htd4	ଏହି\DM_DMD ସପ୍ତ\QT_QTC ଧର୍ମସ୍ଥଳୀ\N_NN ସାତୋଟି\RP_CL ନଗର\N_NN କିମ୍ବା\CC_CCD ସପ୍ତପୂରୀରୂପରେ\N_NNP ଗ୍ରନ୍ଥଗୁଡିକରେ\N_NN ବର୍ଣ୍ଣିତ\N_NNV ହୋଇଛି|\V_VM_VINF
htd5	ଏହା\DM_DMD କୁହାଯାଇଅଛି\V_VM_VF ଯେ\CC_CCD ବର୍ଷା\N_NN ଚାରିମାସରେ\N_NST ଏହି\DM_DMD ସପ୍ତପୂରୀଗୁଡିକର\N_NNP ଦର୍ଶନ\N_NNV ମୋକ୍ଷପ୍ରଦାନକାରୀ\JJ ହୋଇଥାଏ\V_VM_VF |\RD_PUNC
htd6	ଏହାର\DM_DMD ନାମ\N_NN ବନାରସ\N_NNP କିମ୍ବା\CC_CCD ବାରଣାସୀ\N_NNP ମଧ୍ୟ\RP_RPD ଅଟେ|\V_VM_VF
htd7	ଗଙ୍ଗାର\N_NNP ତଟଦେଶରେ\N_NN ଭଗବାନ\N_NN ଶଙ୍କରଙ୍କର\N_NNP ପ୍ରସିଦ୍ଧ\JJ ପୀଠ\N_NN ଅବସ୍ଥିତ|\V_VM_VF
htd8	ମୋଗଲ୍‌ସରାଇରୁ\N_NNP ଅମୃତସର\N_NNP ଏବଂ\CC_CCD ଡେରାଡୁନ\N_NNP ଯାଉଥିବା\V_VM_VNF ମୁଖ୍ୟ\JJ ରେଲୱେ\N_NN ଲାଇନର\N_NN ମୋଗଲ୍‌ସରାଇ\N_NNP ଷ୍ଟେସନଠାରୁ\N_NN ୭\QT_QTC ମାଇଲ୍‌\N_NN ପରେ\PSP କାଶୀ\N_NNP ଏବଂ\CC_CCD ସେଠାରୁ\DM_DMD ୪\QT_QTC କି.ମି.\N_NN ଆଗରେ\PSP ବନାରସ୍‌\N_NNP ଛାଉଣି\N_NN ଷ୍ଟେସନ\N_NN ଅବସ୍ଥିତ\V_VM_VF
htd9	ଆହ୍ଲାବାଦ\N_NNP ପ୍ରୟାଗ\N_NNP ଷ୍ଟେସନଠାରୁ\N_NN ମଧ୍ୟ\RP_RPD ଏକ\QT_QTC ସିଧା\JJ ଲାଇନ୍‌\N_NN କାଶୀ\N_NNP ହୋଇ\V_VM_VNF ବନାରସ୍‌\N_NNP ଛାଉଣି\N_NN ପର୍ଯ୍ୟନ୍ତ\PSP ଯାଇଛି|\V_VM_VF
htd10	ପୂର୍ବୋତ୍ତର\JJ ରେଲ୍ଓ୍ୱେର\N_NN ଏକ\QT_QTC ଲାଇନ\N_NN ଭଟ୍‌ନିରୁ\N_NNP ଏବଂ\CC_CCD ଅନ୍ୟଟି\RP_CL ଛପରାରୁ\N_NNP ଆହ୍ଲାବାଦ୍‌\N_NNP ସହର\N_NN ପର୍ଯ୍ୟନ୍ତ\PSP ଯାଇଛି\V_VM_VF ।\RD_PUNC
htd11	ଏହି\DM_DMD ରାସ୍ତାଦେଇ\N_NN ମଧ୍ୟ\RP_RPD ବନାରସ୍‌\N_NNP ସହର\N_NN ହୋଇ\V_VM_VNF ଛାଉଣି\N_NNP ଯାଇପାରିବେ\V_VM_VNF |\RD_PUNC
htd12	ପତିତପାବନୀ\JJ ଗଙ୍ଗା\N_NNP ହରିଦ୍ଵାରରେ\N_NNP ପାର୍ବତୀୟ\JJ କ୍ଷେତ୍ରକୁ\N_NN ପରିତ୍ୟାଗ\N_NNV କରି\V_VM_VNF ସମତଳ\JJ ଭୂମିରେ\N_NN ପ୍ରବେଶ\N_NNV କରିଛି\V_VM_VF |\RD_PUNC
htd13	ଏଥିପାଇଁ\CC_CCD ହରିଦ୍ଵାରକୁ\N_NNP ଗଙ୍ଗାଦ୍ଵାର\N_NNP ମଧ୍ୟ\RP_RPD କୁହାଯାଏ\V_VM_VF |\RD_PUNC
htd14	ହରିଦ୍ଵାରରେ\N_NNP ପ୍ରତିଦିନ\N_NST ସଂଧ୍ୟାରେ\N_NN ହେଉଥିବା\V_VM_VNF ମା\N_NN ’\RD_PUNC ଗଙ୍ଗାଙ୍କର\N_NNP ଆଳତି\N_NN ସମୟରେ\N_NN ଶ୍ରଦ୍ଧାଳୁମାନଙ୍କର\N_NN ଭିଡ\N_NN ଜମିଥାଏ\V_VM_VF |\RD_PUNC
htd15	ଗଙ୍ଗାନଦୀରେ\N_NNP ଭାସୁଥିବା\V_VM_VNF ଦୀପମାଳାଗୁଡିକର\N_NNP ଦୃଶ୍ୟ\N_NN ଦେଖିବାକୁ\V_VM_VINF ମିଳିଥାଏ|\V_VM_VF
htd16	ଉତ୍ତର\N_NNP ରେଲ୍‌ଓ୍ୱେର\N_NN ମୋଗଲସରାଇ\N_NNP ଠାରୁ\PSP ଅମୃତସର\N_NNP ଯାଉଥିବା\V_VM_VNF ମୁଖ୍ୟ\JJ ଲାଇନ୍‌ରେ\N_NN ଷ୍ଟେସନ\N_NN ଅବସ୍ଥିତ\V_VM_VF
htd17	ଲକ୍ସର\N_NNP ଠାରୁ\PSP ଗୋଟିଏ\RP_CL ଲାଇନ୍‌\N_NN ହରିଦ୍ଵାର\N_NNP ପର୍ଯ୍ୟନ୍ତ\PSP ଯାଇଛି\V_VM_VF |\RD_PUNC
htd18	ପ୍ରାଚୀନ\JJ କାଳରେ\N_NN ପିତାମହ\JJ ବ୍ରହ୍ମା\N_NNP କାଞ୍ଚିରେ\N_NNP ମା\N_NN ଭଗବତୀଙ୍କର\N_NNP ଦର୍ଶନ\N_NNV ପାଇଁ\PSP କଠୋର\JJ ତପସ୍ୟା\N_NN କରିଥିଲେ\V_VM_VF |\RD_PUNC
htd19	ସେତେବେଳେ\CC_CCS ମହାଲକ୍ଷ୍ମୀ\N_NNP ହାତରେ\N_NN ପଦ୍ମ\N_NNP ଧାରଣକରି\V_VM_VNF ତାଙ୍କ\PR_PRP ସାମ୍ନାରେ\PSP ପ୍ରକଟ\N_NNV ହୋଇଥିଲେ\V_VM_VF |\RD_PUNC
htd20	ଦକ୍ଷିଣ\N_NNP ରେଲ୍‌ଓ୍ୱେର\N_NN ଚେନ୍ନାଇ\N_NNP ଷ୍ଟେସନ\N_NN ଠାରୁ\PSP ଧନୁଷ୍କୋଟି\N_NNP ଯାଇଥିବା\V_VM_VNF ମୁଖ୍ୟ\JJ ଲାଇନ୍‌\N_NN ଉପରେ\PSP ଚେନ୍ନାଇରୁ\N_NNP ୩୫\QT_QTC ମାଇଲ\N_NN ଦୂରରେ\N_NST ଚେଙ୍ଗଲ୍‌ପଟ୍‍\N_NNP ଷ୍ଟେସନ\N_NN ଅଛି\V_VM_VF ।\RD_PUNC
htd21	ଚେଙ୍ଗଲ୍‌ପଟ୍‌\N_NNP ଷ୍ଟେସନ\N_NN ଠାରୁ\PSP ଗୋଟିଏ\RP_CL ଲାଇନ୍‌\N_NN ଅର୍କୋନମ୍‌\N_NNP ପର୍ଯ୍ୟନ୍ତ\PSP ଯାଇଛି\V_VM_VF |\RD_PUNC
htd22	ଚେଙ୍ଗଲ୍‌ପେଟ୍‍\N_NNP ଷ୍ଟେସନରୁ\N_NN ଅର୍କୋନମ୍‌\N_NNP ଯାଉଥିବା\V_VM_VNF ଲାଇନ\N_NN ଉପରେ\RB କାଞ୍ଜିଭରମ୍‌\N_NNP ଷ୍ଟେସନ\N_NN ଅବସ୍ଥିତ\V_VM_VF |\RD_PUNC
htd23	ଷ୍ଟେସନର\N_NN ନାମ\N_NN ନିଶ୍ଚିତ\RP_INTF ଭାବରେ\RB କାଁଚିବରମ୍‌\N_NNP ଅଟେ\V_VM_VF କିନ୍ତୁ\CC_CCD ସହରର\N_NN ନାମ\N_NN କାଞ୍ଚିପୁରମ୍‌\N_NNP ଅଟେ\V_VM_VF |\RD_PUNC
htd24	ଅଯୋଧ୍ୟା\N_NNP ପ୍ରଭୁ\N_NN ଶ୍ରୀରାମଙ୍କର\N_NNP ଅବତାରର\N_NN ପବିତ୍ର\JJ ଭୂମି\N_NN |\RD_PUNC
htd25	ଅଯୋଧ୍ୟା\N_NNP ପବିତ୍ର\JJ ସରଯୂ\N_NNP ନଦୀ\N_NN କୂଳରେ\N_NN ଅବସ୍ଥିତ\V_VM_VF |\RD_PUNC
htd26	ଉତ୍ତର\N_NNP ରେଲ୍‌ଓ୍ୱେର\N_NN ମୋଗଲ୍‌ସରାଇ\N_NNP -\RD_PUNC ଲକ୍ଷ୍ନୈା\N_NNP ଲାଇନରେ\N_NN ମୋଗଲ୍‌ସରାଇ\N_NNP ଷ୍ଟେସନ\N_NN ଠାରୁ\PSP ୧୨୮\QT_QTC ମାଇଲ\QT_QTF ଦୂରରେ\N_NN ଅଯୋଧ୍ୟା\N_NNP ଷ୍ଟେସନ\N_NN ଅବସ୍ଥିତ\V_VM_VF
htd27	ଶିପ୍ରା\N_NNP କିମ୍ବା\CC_CCD କ୍ଷୀପ୍ରା\N_NNP ନଦୀ\N_NN କୂଳରେ\N_NN ଅବସ୍ଥିତ\JJ ମହାକାଳଙ୍କର\N_NNP ଏହି\DM_DMD ଉଜ୍ଜୟିନୀ\N_NNP ନଗରୀ\N_NN ପତିତପାବନୀ\N_NN ଅଟେ\V_VM_VF |\RD_PUNC
htd28	କଥିତ\JJ ଅଛି\V_VM_VF ଯେ\CC_CCS ଉଜ୍ଜୟିନୀରେ\N_NNP ମହାକାଳଙ୍କୁ\N_NNP ପ୍ରଣାମ\N_NN କଲେ\V_VM_VNF ମୃତ୍ୟୁର\N_NN ଚିନ୍ତା\N_NN ରହେ\V_VM_VF ନାହିଁ\RP_NEG |\RD_PUNC
htd29	ମଧ୍ୟ\N_NNP ରେଲ୍‌ଓ୍ୱେର\N_NN ମୁମ୍ବାଇ-ଭୋପାଳ-ଦିଲ୍ଲୀ\N_NNP ଲାଇନ୍‌ରେ\N_NN ଭୋପାଳ\N_NNP ଷ୍ଟେସନ\N_NN ଠାରୁ\PSP ଗୋଟେ\RP_CL ଲାଇନ\N_NN ଉଜ୍ଜୟିନି\N_NNP ଯାଇଛି\N_NN ।\RD_PUNC
htd30	ପଶ୍ଚିମ\N_NNP ରେଲ୍‌ଓ୍ୱେର\N_NN ମୁମ୍ବାଈ-କୋଟା-ଦିଲ୍ଲୀ\N_NNP ଲାଇନ\N_NN ଉପରେ\PSP ନାଗ୍‌ଦା\N_NNP ଷ୍ଟେସନଠାରୁ\N_NN ଗୋଟିଏ\RP_CL ବଡ\QT_QTF ଲାଇନ୍‌\N_NN ମଧ୍ୟ\RP_RPD ଉଜ୍ଜୟିନି\N_NNP ପର୍ଯ୍ୟନ୍ତ\PSP ଯାଇଛି\N_NNP ।\RD_PUNC
htd31	ସେହି\DM_DMD ଲାଇନରେ\N_NN ମହୁ\N_NNP ଷ୍ଟେସନ\N_NN ଠାରୁ\PSP ଗୋଟିଏ\RP_CL ଲାଇନ\N_NN ମଧ୍ୟ\RP_RPD ଉଜ୍ଜୟିନୀକୁ\N_NNP ଯାଇଛି\V_VM_VF ।\RD_PUNC
htd32	ଦ୍ଵାରକା\N_NNP ଚାରିଧାମ\N_NN ମଧ୍ୟରୁ\PR_PRC ଗୋଟିଏ\RP_CL ଧାମ\N_NN ଅଟେ\V_VM_VF |\RD_PUNC
